Class	Name	*Description	*ID	Token	Selectable0	Selectable1	Selectable2	Selectable3	Selectable4	Selectable5	Selectable6	Selectable7	SizeX	SizeY	FrameCnt0	FrameCnt1	FrameCnt2	FrameCnt3	FrameCnt4	FrameCnt5	FrameCnt6	FrameCnt7	FrameDelta0	FrameDelta1	FrameDelta2	FrameDelta3	FrameDelta4	FrameDelta5	FrameDelta6	FrameDelta7	CycleAnim0	CycleAnim1	CycleAnim2	CycleAnim3	CycleAnim4	CycleAnim5	CycleAnim6	CycleAnim7	Lit0	Lit1	Lit2	Lit3	Lit4	Lit5	Lit6	Lit7	BlocksLight0	BlocksLight1	BlocksLight2	BlocksLight3	BlocksLight4	BlocksLight5	BlocksLight6	BlocksLight7	HasCollision0	HasCollision1	HasCollision2	HasCollision3	HasCollision4	HasCollision5	HasCollision6	HasCollision7	IsAttackable0	Start0	Start1	Start2	Start3	Start4	Start5	Start6	Start7	EnvEffect	IsDoor	BlocksVis	Orientation	OrderFlag0	OrderFlag1	OrderFlag2	OrderFlag3	OrderFlag4	OrderFlag5	OrderFlag6	OrderFlag7	PreOperate	Mode0	Mode1	Mode2	Mode3	Mode4	Mode5	Mode6	Mode7	Yoffset	Xoffset	Draw	Red	Green	Blue	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SubClass	Xspace	Yspace	NameOffset	MonsterOK	ShrineFunction	Restore	Parm0	Parm1	Parm2	Parm3	Parm4	Lockable	Gore	Sync	Damage	Overlay	CollisionSubst	Left	Top	Width	Height	OperateFn	PopulateFn	InitFn	ClientFn	RestoreVirgins	BlockMissile	DrawUnder	OpenWarp	AutoMap
InnerHellObject2	skull pile	skullpile inner hell	126	is	1	0	0	0	0	0	0	0	1	1	1	13	1	0	0	0	0	0	128	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
InnerHellObject3	hidden stash	ihobject5 inner hell	127	ir	1	0	0	0	0	0	0	0	4	4	1	13	1	0	0	0	0	0	128	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
OuterHellObject1	hidden stash	hobject4 inner hell	128	hg	1	0	0	0	0	0	0	0	1	1	1	13	1	0	0	0	0	0	128	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
HiddenDoor2	Door	secret door 1	129	h2	1	0	0	0	0	0	0	0	1	5	1	15	1	0	0	0	0	0	256	128	256	256	256	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	128	0	0	-70	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0
Fountain5	Well	pool act 1 wilderness	130	zw	1	1	0	0	0	0	0	0	3	3	10	10	1	0	0	0	0	0	128	128	128	128	256	256	256	256	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	-70	0	0	1	750	128	1	3	0	0	0	1	100	0	0	750	128	1	3	22	8	16	0	0	0	0	0	309
VileDoggieShow	Dummy	vile dog afterglow	131	9b	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	255	100	100	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	0	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	0	0	59	0	0	0	0	0	0
Fountain6	Well	cathedralwell act 1 inside	132	zc	1	1	0	0	0	0	0	0	3	3	10	10	1	0	0	0	0	0	128	128	128	128	256	256	256	256	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	-70	0	0	1	750	128	1	3	0	0	0	1	100	0	0	750	128	1	3	22	8	16	0	0	0	0	0	309
ShrineMagicArcaneSanctuary1	shrine	shrine1_arcane sanctuary	133	xx	1	0	0	0	0	0	0	0	3	3	8	8	1	1	0	0	0	0	256	256	256	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	1	0	0	-235	0	0	1	3	319	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
DesertShrine00	shrine	dshrine2 act 2 shrine	134	zs	1	0	0	0	0	0	0	0	3	4	1	10	1	1	0	0	0	0	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	-235	0	0	1	3	85	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
DesertShrine01	shrine	desertshrine3 act 2 shrine	135	zr	1	0	0	0	0	0	0	0	2	2	1	13	1	1	0	0	0	0	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-235	0	0	1	3	85	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
DesertShrine02	shrine	dshrine1 act 2 shrine	136	zd	1	0	0	0	0	0	0	0	6	3	1	10	1	1	0	0	0	0	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-235	0	0	1	3	85	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
Fountain7	Well	"desertwell act 2 well, desert, tomb"	137	zl	1	1	0	0	0	0	0	0	3	3	10	10	1	0	0	0	0	0	128	128	0	256	256	256	256	256	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	0	0	-70	0	0	1	750	128	1	3	0	0	0	1	100	0	0	750	128	1	3	22	8	16	0	0	0	0	0	309
Fountain8	Well	cavewell act 1 caves 	138	zy	1	1	0	0	0	0	0	0	4	4	10	10	1	0	0	0	0	0	128	128	128	128	256	256	256	256	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	-70	0	0	1	750	128	1	3	0	0	0	1	100	0	0	750	128	1	3	22	8	16	0	0	0	0	0	309
ChestOutdoor1	chest	chest-r-large act 1	139	q1	1	0	0	0	0	0	0	0	3	2	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
ChestOutdoor2	chest	chest-r-tallskinney act 1	140	q2	1	0	0	0	0	0	0	0	1	1	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
ChestOutdoor3	chest	chest-r-med act 1	141	q3	1	0	0	0	0	0	0	0	3	2	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
JugOutdoor1	jug	"jug1 act 2, desert"	142	q4	1	0	0	0	0	0	0	0	1	1	1	5	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	1	0	0
JugOutdoor2	jug	"jug2 act 2, desert"	143	q5	1	0	0	0	0	0	0	0	1	1	1	4	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	1	0	0
ChestOutdoor4	chest	Lchest1 act 1	144	q6	1	0	0	0	0	0	0	0	1	1	1	4	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	0	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
InnerHellWaypoint	Waypoint	waypointi inner hell	145	wi	1	0	1	0	0	0	0	0	1	1	1	15	15	0	0	0	0	0	200	200	200	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	19	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	100	100	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	64	0	0	-70	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	23	0	17	0	0	0	0	0	0
Chest2	chest	"dchest2R act 2, desert, tomb, chest-r-med"	146	q9	1	0	0	0	0	0	0	0	3	1	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
Chest3	chest	"dchestr act 2, desert, tomb, chest -r large"	147	q7	1	0	0	0	0	0	0	0	3	1	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
Chest4	chest	"dchestL act 2, desert, tomb chest l large"	148	q8	1	0	0	0	0	0	0	0	2	2	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	1	0	1	100	0	0	18	0	0	0	4	3	3	0	1	0	0	0	0
TaintedSunShrine	taintedsunaltar	tainted sun altar quest	149	za	1	0	0	0	0	0	0	0	4	2	1	11	1	1	0	0	0	0	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-235	0	0	1	0	0	0	0	0	0	0	1	100	1	0	0	0	0	0	24	0	20	0	0	0	0	0	0
DesertShrine03	shrine	"dshrine1 act 2 , desert"	150	zv	1	0	0	0	0	0	0	0	5	5	8	8	1	1	0	0	0	0	140	256	256	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	-235	0	0	1	3	85	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
DesertShrine04	shrine	"dshrine4 act 2, desert"	151	ze	1	0	0	0	0	0	0	0	5	4	1	10	1	1	0	0	0	0	256	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	-235	0	0	1	3	85	0	0	0	0	0	1	100	0	0	3	85	0	0	2	2	1	0	0	0	0	0	310
SevenTombsReceptacle	orifice	Where you place the Horadric staff	152	HA	1	1	1	0	0	0	0	0	3	3	1	1	1	1	1	0	0	0	256	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-80	0	0	1	0	0	0	0	0	0	0	1	100	1	0	0	0	0	0	25	0	21	8	0	0	0	0	0
DurielsDoor	Door	tyrael's door	153	DX	0	0	0	0	0	0	0	0	1	5	1	12	1	12	1	1	1	1	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	0	0	-18	-8	1	255	190	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	0	1	-20	-80	40	40	0	0	0	1	100	0	0	-20	-80	40	40	0	0	38	0	0	1	0	0	0
DeadPalaceGuard	corpse	guard corpse	154	GC	1	0	0	0	0	0	0	0	3	3	1	10	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0
Rock	hidden stash	rock act 1 wilderness	155	c7	1	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
WaypointAct2	Waypoint	waypoint act 2	156	wm	1	0	1	0	0	0	0	0	1	1	1	15	15	0	0	0	0	0	200	200	160	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	19	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	100	100	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	64	0	0	-70	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	23	3	17	0	0	0	0	0	0
WaypointInsideAct1	Waypoint	waypoint act 1 wilderness	157	wn	1	0	1	0	0	0	0	0	1	1	1	15	15	0	0	0	0	0	200	200	160	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	19	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	100	100	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	64	0	0	-70	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	23	3	17	0	0	0	0	0	0
Corpse3	skeleton	corpse	158	cp	1	0	0	0	0	0	0	0	3	3	1	3	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
HiddenStash	hidden stash	rockb act 1 wilderness	159	cq	1	0	0	0	0	0	0	0	1	1	1	6	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	1	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
FireSmall	fire	fire small	160	FX	0	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	0	0	0	256	256	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	0	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	11	0	22	0	0	0	0	0	0
FireMedium	fire	fire medium	161	FY	0	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	0	0	0	256	256	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	0	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	11	0	22	0	0	0	0	0	0
FireLarge	fire	fire large	162	FZ	0	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	0	0	0	256	256	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-70	0	0	1	1	0	0	0	0	0	0	0	100	0	0	1	0	0	0	11	0	22	0	0	0	0	0	0
HidingSpot	hiding spot	cliff act 1 wilderness	163	cf	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-60	0	0	1	18	0	0	0	0	0	0	1	100	0	0	18	0	0	0	14	3	0	0	1	0	0	0	0
ManaWell1	Shrine	mana well1	164	MB	1	0	0	0	0	0	0	0	3	3	1	16	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-95	0	0	1	2	85	0	0	0	0	0	1	100	0	0	2	85	0	0	2	2	1	0	0	0	0	0	310
ManaWell2	Shrine	mana well2	165	MD	1	0	0	0	0	0	0	0	3	3	1	16	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-95	0	0	1	2	77	0	0	0	0	0	1	100	0	0	2	77	0	0	2	2	1	0	0	0	0	0	310
ManaWell3	Shrine	"mana well3, act 2, tomb, "	166	MF	1	0	0	0	0	0	0	0	3	3	1	16	1	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	255	255	255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-95	0	0	1	2	85	0	0	0	0	0	1	100	0	0	2	85	0	0	2	2	1	0	0	0	0	0	310
